model,baseline,split,experiment_id,run_name,num_runs,num_evaluable_runs,infra_failed_rate,TSR,SVR,STCR,ASR,resource_overrun_rate,internal_message_exposure_rate,unsafe_internal_message_exposure_rate,mean_utility_pass_rate,mean_safety_constraint_pass_rate,mean_first_failure_step,mean_harmful_action_step,mean_failure_lead_time,latent_violation_rate
claude-opus-4-6,naive,v0_2_test,mvp_outcome_benchmark,20260509_065209__split-v0-2-test__baseline-naive__model-claude-opus-4-6__tag-v0-2,155,155,0.000,0.852,0.103,0.755,0.095,0.026,0.129,0.019,0.921,0.996,2.875,3.500,0.500,0.097
claude-sonnet-4-6,naive,v0_2_test,mvp_outcome_benchmark,20260509_082803__split-v0-2-test__baseline-naive__model-claude-sonnet-4-6__tag-v0-2,155,155,0.000,0.819,0.219,0.639,0.238,0.032,0.129,0.116,0.904,0.990,3.062,5.000,0.000,0.194
deepseek-v4-flash,naive,v0_2_test,mvp_outcome_benchmark,20260508_033853__split-v0-2-test__baseline-naive__model-deepseek-v4-flash__tag-v0-2,155,155,0.000,0.852,0.400,0.465,0.533,0.071,0.129,0.090,0.907,0.856,3.226,3.186,1.000,0.387
gemini-3-1-flash-lite-preview,naive,v0_2_test,mvp_outcome_benchmark,20260508_100202__split-v0-2-test__baseline-naive__model-gemini-3-1-flash-lite-preview__tag-v0-2,155,155,0.000,0.626,0.465,0.310,0.667,0.065,0.129,0.077,0.779,0.800,2.845,3.516,1.164,0.432
gemma-4-31b-it,naive,v0_2_test,mvp_outcome_benchmark,20260508_070933__split-v0-2-test__baseline-naive__model-gemma-4-31b-it__tag-gemma4-local-full-rerun-nolimit,155,155,0.000,0.761,0.271,0.587,0.381,0.039,0.129,0.116,0.867,0.911,2.561,3.375,1.273,0.258
gpt-5-2,naive,v0_2_test,mvp_outcome_benchmark,20260509_055058__split-v0-2-test__baseline-naive__model-gpt-5-2__tag-v0-2,155,155,0.000,0.761,0.097,0.677,0.143,0.019,0.129,0.013,0.873,0.993,2.333,3.667,1.000,0.097
gpt-5-5,naive,v0_2_test,mvp_outcome_benchmark,20260509_044341__split-v0-2-test__baseline-naive__model-gpt-5-5__tag-v0-2,155,155,0.000,0.832,0.058,0.716,0.076,0.077,0.129,0.006,0.910,0.993,1.500,3.000,0.500,0.045
gpt-5-mini,naive,v0_2_test,mvp_outcome_benchmark,20260508_063548__split-v0-2-test__baseline-naive__model-gpt-5-mini__tag-v0-2,155,155,0.000,0.684,0.290,0.503,0.381,0.026,0.123,0.103,0.798,0.870,2.488,3.385,1.080,0.271
minimax-m2-5,naive,v0_2_test,mvp_outcome_benchmark,20260511_112617__split-v0-2-test__baseline-naive__model-minimax-m2-5__tag-minimax-m2-5-local-full-rerun,155,155,0.000,0.858,0.161,0.729,0.219,0.026,0.129,0.013,0.898,0.933,2.667,3.588,0.938,0.142
mirothinker-1-7,naive,v0_2_test,mvp_outcome_benchmark,20260508_081844__split-v0-2-test__baseline-naive__model-mirothinker-1-7__tag-mirothinker-1-7-local-full-rerun-fix,155,147,0.000,0.007,0.020,0.007,0.031,0.000,0.061,0.014,0.036,1.000,1.000,,,0.020
gemini-3-flash-preview,naive,v0_2_test,mvp_outcome_benchmark,20260509_025841__split-v0-2-test__baseline-naive__model-gemini-3-flash-preview__tag-v0-2,155,154,0.006,0.766,0.383,0.455,0.558,0.045,0.123,0.104,0.843,0.840,3.052,3.933,1.279,0.377
deepseek-v4-pro,naive,v0_2_test,mvp_outcome_benchmark,20260508_044432__split-v0-2-test__baseline-naive__model-deepseek-v4-pro__tag-v0-2,155,153,0.013,0.778,0.353,0.516,0.467,0.013,0.131,0.072,0.870,0.910,3.717,4.526,1.000,0.327
gemini-3-1-pro-preview,naive,v0_2_test,mvp_outcome_benchmark,20260511_005823__split-v0-2-test__baseline-naive__model-gemini-3-1-pro-preview__tag-v0-2,155,139,0.077,0.820,0.266,0.576,0.402,0.022,0.122,0.108,0.907,0.850,2.378,3.160,1.200,0.259
